quakecon clan counts as of 08/02/2015 15:14
     C44-07 JoJo Cs U
     C44-08 Reserved
     C51-08 Rtype97
     C51-09 TheTaterMan
     C51-10 KYRY
     C52-09 Reserved
     C52-10 Rockwell
DeadlyGaming --- 7
     C35-09 WHATSITCALLED
     C35-10 lostcozz99
     C35-11 Stevo
     C35-12 ImJonABoat
     C36-10 Crimsy
     C36-11 BatManned
     C36-12 NameNoOneChose
Fire Team Haboob --- 7
     B07-09 Disciple027
     B07-10 EscaFlowne
     B07-11 ElmoDestroyerX
     B07-12 Reserved
     B07-14 Red Raider
     B07-15 Heisenberg565
     B07-20 XaroisDM
GWR --- 7
     B01-03 Slayer_GWR
     B01-04 TexasTornado
     B01-05 Jonnyyz
     B01-07 Psycho7shy
     B01-13 Murpheous
     B02-02 Phoenix_GWR
     B02-04 Hazzard1994
HexagonPC --- 7
     B07-01 Lavins
     B07-03 hobbseltoff
     B07-04 LtDan
     B08-01 larainzlo07
     B08-03 Selfie
     B08-06 Auburi
     B08-07 Noelic
IDGAF --- 7
     B08-19 density911
     B08-20 Ohhnoes
     B08-22 Isolate
     B09-19 jesse2015
     B09-20 Jojo
     B09-21 Plagued
     B09-22 Kitinaice
Justices of the Piece --- 7
     A24-01 deathpanda
     A24-03 Reserved
     A24-07 rjoe
     A24-08 tenement funster
     A24-09 dorkmo
     A24-10 SpaceRangerJoe
     A25-09 TmanUBP
Mutiny --- 7
     B04-18 Reserved
     B04-19 Spyder
     B04-20 Powerswitch
     B04-21 Chempy
     B05-18 KidBastard
     B05-19 Zencyde
     B05-20 FATMAN
NERDS --- 7
     B21-04 bmonboy
     B21-05 jdubz
     B21-06 GymThug
     B21-07 Jmillz
     B21-08 MMEGA
     B21-09 Powers75
     B21-10 SSlotts
Overvolt --- 7
     A56-04 zeeee34
     A56-05 Bobjonez98
     A56-06 Ace
     A56-07 Draegon401
     A57-04 72centimeters
     A57-05 Pike1950
     A57-06 stward
The [405] --- 7
     C56-03 Disory
     C56-04 Tindolos
     C56-05 Celeritas
     C56-06 Saraibear
     C56-07 TwooPacc
     C57-05 Evella
     C57-06 RevenantXion
id Software --- 7
     B12-01 Stark
     B34-01 Twillits
     B34-10 patd
     B36-04 Sesquipedaliant
     B36-05 Tricell
     B36-06 ZombieShawn
     B36-07 Master Shake
Amish Assassins --- 6
     A65-06 LegionHeir
     A66-06 Kappus
     A66-07 [AA] Xp_3
     A66-08 [AA] Soulo
     A66-09 Advocate
     A66-10 [AA]Cold_B
Buttercream Gang --- 6
     A04-05 Judith
     A04-06 ev0
     A04-07 Palyup
     A04-08 Undergr3nades
     A04-09 The Newest Beta
     A04-10 Lonesock
Critgamer.com --- 6
     C37-01 Kriegster
     C37-02 SpadeFire91
     C37-03 Verbatim37
     C38-02 floodk
     C38-03 Falcon Five
     C38-05 TotalFreedom138
DESU --- 6
     C49-04 Ryan Desu
     C49-05 Lawlum
     C49-06 Foundacious
     C49-07 Arkempire
     C49-08 ChewbaccaChris
     C49-09 Neil_swaguilar
Gladium --- 6
     B64-01 CRACKBONE
     B64-02 TinCrow
     B64-03 Irishwiz
     B64-04 Dragonscreed
     B64-05 Gillette
     B64-06 Powerful Voss
Ironfist Rangers --- 6
     C41-10 Druedain
     C41-12 Zorr
     C42-10 ChevyMax
     C42-11 GIJoeman
     C42-12 Jabba
     C46-08 Joseplh
Killer Rabbits --- 6
     A19-03 Bagelmeister
     A19-04 Hardball62
     A19-07 Landbearshark
     A19-08 MercuryAce
     A19-09 ThunderCougarFalconBird
     A19-10 Weasel
Maniacally Mad --- 6
     A58-07 Jim
     A58-08 Rauche
     A58-09 Leadphalanx
     A58-10 Nothingguy
     A59-07 Stachecat
     A59-08 Sugarbear
Panic/Zombspawn --- 6
     B54-02 RazorbackHitman
     B54-05 Zombchicken
     B54-06 AlterSlave
     B55-01 ModernSlave
     B55-02 Rogue
     B55-07 Hogan
Pingas Expresso --- 6
     C55-09 felix the cat
     C55-10 WatsEatsGoobertGrapes
     C55-11 Integralus
     C56-08 Oh Da Hamboigahs
     C56-09 Linalae
     C56-10 DecretuM
SMEGMA --- 6
     B18-01 augr
     B18-02 phosgene
     B18-03 ugLee
     B18-04 swagel
     B23-11 Faddleworth
     B23-12 Corbi
SanAnLAN --- 6
     B43-13 KnuckleSangwich
     B43-14 VeNoM
     B43-15 dougp
     B43-16 mr__death
     B43-17 maddooooooog3000
     B43-18 Oak
SpiderMan Chat Desu~ --- 6
     A01-01 shadowmessanger
     A01-02 Scottiec93
     A01-03 Equechan
     A01-04 Nod
     A01-08 uncannyx
     A01-09 Best Zed LAO
TEAM USA --- 6
     B59-02 Mule
     B60-01 Nauseous
     B60-02 duh.meat
     B60-03 Ambush
     B60-04 Barnaby
     B60-05 RambeauxsCuzn
